,Unnamed: 0,Text,Source,cleaned_text,Topics,Labels
12,12,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,StormFront,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid i cant believe that they are doing this by the millions its crazy,0,Radicalization
13,13,I hope they all starve .,StormFront,i hope they all starve  ,0,Radicalization
14,14,No white person should send a single penny or lift a single finger to help them .,StormFront,no white person should send a single penny or lift a single finger to help them  ,0,Radicalization
15,15,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",StormFront,he s a retarded feral negro   yes   feral humans who cannot talk occasionally pop up   having been abandoned as children     ,0,Radicalization
16,16,"He walks upright , and has human arms and legs .",StormFront,he walks upright   and has human arms and legs  ,0,Radicalization
17,17,I 've seen negroes who look ( and undoubtedly act ) like him .,StormFront,i  ve seen negroes who look   and undoubtedly act   like him  ,0,Radicalization
18,18,I will respond until Armenian scum will stop,StormFront,i will respond until armenian scum will stop,2,Propaganda
19,19,Where a white woman can go about in public and not fear assault by muds .,StormFront,where a white woman can go about in public and not fear assault by muds  ,0,Radicalization
20,20,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,StormFront,i retract   always      always because an animal lacks the skills to properly raise a   half   human child  ,0,Radicalization
21,21,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,StormFront,when most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo  ,0,Radicalization
22,22,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,StormFront,there should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non whites they are our enemies  ,0,Radicalization
23,23,Black ``women''on London transport ...,StormFront,black   women  on london transport    ,0,Radicalization
24,24,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",StormFront,if not kept in check   we may very will be living in an actual planet of the apes soon  ,0,Radicalization
25,25,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,StormFront,as soon as i hear them uttering their monkey gibberish i feel like smashing my computer screen with my fist  ,2,Propaganda
26,26,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,StormFront,i can picture him as that baby monkey on the   save the rainforest comercial or whatever,0,Radicalization
27,27,I have a dream - one of these days Black occupation of America will be history !,StormFront,i have a dream   one of these days black occupation of america will be history  ,1,Recruitment
28,28,"Pathological killers , they are .",StormFront,pathological killers   they are  ,1,Recruitment
29,29,Jews have been poisoning wells since Biblical times .,StormFront,jews have been poisoning wells since biblical times  ,0,Radicalization
30,30,No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,StormFront,no wonder we are in such bad shape with this tribe in charge of the white house and congress  ,0,Radicalization
31,31,The Jew represents the snake .,StormFront,the jew represents the snake  ,2,Propaganda
32,32,All you need is to cut off it 's head and the rest of the problems will crumble away with ease,StormFront,all you need is to cut off it  s head and the rest of the problems will crumble away with ease,0,Radicalization
33,33,"I hate to see such beautiful white females become victims of these sick , violent merciless animals .",StormFront,i hate to see such beautiful white females become victims of these sick   violent merciless animals  ,0,Radicalization
34,34,Separation is the only answer !,StormFront,separation is the only answer  ,1,Recruitment
35,35,While they are in prison the kikes should get the same food the regular prison population gets ...,StormFront,while they are in prison the kikes should get the same food the regular prison population gets    ,0,Radicalization
36,36,Who the hell cares if its not kosher ...,StormFront,who the hell cares if its not kosher    ,1,Recruitment
37,37,"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",StormFront,i ve felt anger when i  ve read it on forum   but we have to do our part and speaking at loud voice this fact   because   for example   i  m from europe and this fact is not pased on tv news or in the news paper     knows your enemies is the first pass for vicory on them  ,0,Radicalization
38,38,We are more concerned about ZOG controlling US and Russia .,StormFront,we are more concerned about zog controlling us and russia  ,0,Radicalization
39,39,"Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?",StormFront,why do n t white europeans and americans grow a set of balls   and deport these black and brown animals from their countries  ,0,Radicalization
40,40,SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !,StormFront,sex  male race   black d o b              height          weight       eye   brown hair black in custody for       misdemeanor count of criminal trespass  nd deg this dude looks like an olde version of cornielious from    planet of the apes     ,2,Propaganda
41,41,Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .,StormFront,because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew   communist wanted  ,0,Radicalization
42,42,"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers .",StormFront,couple befriend negroid   negroid tries to burn down couples home   nnn reporters newsroom forum moblie couple says neighbor tried to set their apartment on fire reported by   irika sargent last update               pm moblie couple says neighbor tried to set their apartment on fire   local  tv com   mobile   pensacola news   entertainment   videos   business search and shopping this is what happens when you make friends with spearchuckers  ,0,Radicalization
43,43,Shows some interesting statistics about the jew rats ...,StormFront,shows some interesting statistics about the jew rats    ,0,Radicalization
44,44,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,StormFront,the blacks and browns are detroying sweden and nobody does anything about it     madex   madex   madex,0,Radicalization
45,45,"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood .",StormFront,the only thing manipulated here are the minds of few foreigners   who reckon they can live amongest superiour   pagan blood  ,0,Radicalization
46,46,"Denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population of 5.4 million ) Good job Denmark !",StormFront,denmark                                                                 assuming population of     million   good job denmark  ,2,Propaganda
47,47,i get what your saying and there are thousands of non irish here who will never contribute anything to this land .,StormFront,i get what your saying and there are thousands of non irish here who will never contribute anything to this land  ,0,Radicalization
48,48,"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs",StormFront,unless you are a tourist or here the study for a year or two please just go back russian   we dont need or want more slavs,0,Radicalization
49,49,What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,StormFront,what a load of crap water are ye people for real ireland is been taken over by non irish and this rubbish  ,1,Recruitment
50,50,I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,StormFront,i hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,0,Radicalization
51,51,Watching those videos makes me feel like im going to explode with hatred for those creatures .,StormFront,watching those videos makes me feel like im going to explode with hatred for those creatures  ,0,Radicalization
52,52,This filth is a sectarian British song not an Irish folk song the sort of scum who wrote and admire this filth have no place on a WN forum yet alone an Irish forum,StormFront,this filth is a sectarian british song not an irish folk song the sort of scum who wrote and admire this filth have no place on a wn forum yet alone an irish forum,0,Radicalization
53,53,Its a disgrace my sister has been on the waiting list for 6 years and their giving away houses to these scumbags,StormFront,its a disgrace my sister has been on the waiting list for   years and their giving away houses to these scumbags,1,Recruitment
54,54,put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,StormFront,put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids   kids have to suffer all their lives to due a whore,0,Radicalization
55,55,"What I do know is that I live on a small Island and it seems that a lot of people from various countries in the world are willing to desert their homelands and their families just to come here , in my mind that tells me a lot about said people and their home countries , most of all it highlights their weaknesses of how their own countries have let them down and how they feel the need to feed off somebody elses country , how should we English interpret this without sounding rude ??? , locust ??? , parasite ??? , you tell me .",StormFront,what i do know is that i live on a small island and it seems that a lot of people from various countries in the world are willing to desert their homelands and their families just to come here   in my mind that tells me a lot about said people and their home countries   most of all it highlights their weaknesses of how their own countries have let them down and how they feel the need to feed off somebody elses country   how should we english interpret this without sounding rude       locust       parasite       you tell me  ,0,Radicalization
56,56,Why would you want to see this pollution spread further into our gene pool ?,StormFront,why would you want to see this pollution spread further into our gene pool  ,0,Radicalization
57,57,Thank the Gods she has chosen to go with her own kind .,StormFront,thank the gods she has chosen to go with her own kind  ,0,Radicalization
58,58,ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better',StormFront,ye i heard that one to  or   we all came from africa any way so why dose it matter            my answer     we evolved to be better ,0,Radicalization
59,59,"Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these immigrants , Africans , foeigners ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing .",StormFront,well   the warm weather is coming in and guess what   i now have to painstakingly endure all the offspring of these immigrants   africans   foeigners   im putting them all because there is that many of them   all playing out the front of the flats in the small garden area   screeching and shouting and their hyena pitched laughing  ,2,Propaganda
60,60,"Every time I see a black security guard they are either sat down or on the phone , they have no proffesionalism whatsoever .",StormFront,every time i see a black security guard they are either sat down or on the phone   they have no proffesionalism whatsoever  ,1,Recruitment
61,61,"Yes, more homosexual degeneracy foisted upon the silent majority .",StormFront,yes  more homosexual degeneracy foisted upon the silent majority  ,1,Recruitment
62,62,"Yeah, we could do with the same amount of black rapists as the Nordic countries are privileged enough to have .",StormFront,yeah  we could do with the same amount of black rapists as the nordic countries are privileged enough to have  ,1,Recruitment
63,63,Hi everyone .... I 'm from Slovenia and I utterly hate every living muslim in this world ....... and I despise even the dead ones,StormFront,hi everyone      i  m from slovenia and i utterly hate every living muslim in this world         and i despise even the dead ones,0,Radicalization
64,64,"All of ukraine is Russia/Poland/Romania , you fake ukrainians .",StormFront,all of ukraine is russia poland romania   you fake ukrainians  ,0,Radicalization
65,65,"Like it or not , and I certainly do n't , but Ireland , especially NI is littered with memorials to , and even statues of , red terrorists .",StormFront,like it or not   and i certainly do n t   but ireland   especially ni is littered with memorials to   and even statues of   red terrorists  ,0,Radicalization
66,66,I stumbled n this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - France - Montpellier ( 34 ) .,StormFront,i stumbled n this by accident absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same le t    l    gramme   france   montpellier         ,1,Recruitment
67,67,Hopefully they do n't get intimidated by the enemies of our land and of our freedom - those antifa scum .,StormFront,hopefully they do n t get intimidated by the enemies of our land and of our freedom   those antifa scum  ,2,Propaganda
68,68,The powers that be want all Whites dumbed down with Negro blood .,StormFront,the powers that be want all whites dumbed down with negro blood  ,0,Radicalization
69,69,They all need to be sent back to Afreka along with the Joos that control our politicians .,StormFront,they all need to be sent back to afreka along with the joos that control our politicians  ,0,Radicalization
70,70,I so hope that coon got life in jail or the death penaltyYou did and are doing the best you can nobody can ask for more .,StormFront,i so hope that coon got life in jail or the death penaltyyou did and are doing the best you can nobody can ask for more  ,0,Radicalization
71,71,"DuetschGirlTX, No I live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near San Antonio. there are so many dirts around and they all stick together. so when it comes to a White Girl in this town i gotta have my own back ALWAYS Is that where you are ?",StormFront,duetschgirltx  no i live in a tiny ass town where i am only one of     white folks   maybe less     near san antonio  there are so many dirts around and they all stick together  so when it comes to a white girl in this town i gotta have my own back always is that where you are  ,0,Radicalization
72,72,Hiring someone from this website should ensure we do n't hire undesirables .,StormFront,hiring someone from this website should ensure we do n t hire undesirables  ,1,Recruitment
73,73,"BTW you are not wrong about Mildura , I went through there in mid 2000 and there was n't a non-White in sight but late last year when I went through there all I saw were islanders , indians , asians , and whatever other crap little johnnie could get dumped into the country .",StormFront,btw you are not wrong about mildura   i went through there in mid      and there was n t a non white in sight but late last year when i went through there all i saw were islanders   indians   asians   and whatever other crap little johnnie could get dumped into the country  ,0,Radicalization
74,74,They have caused their own hate from the nations by their hate for everyone else .,StormFront,they have caused their own hate from the nations by their hate for everyone else  ,0,Radicalization
75,75,The Jewish race is without any doubt the greatest threat to the survival of the White race .,StormFront,the jewish race is without any doubt the greatest threat to the survival of the white race  ,0,Radicalization
76,76,i am a white nationalist of a christian faith but still am a white nationalist for racial survival the anti racist christians are the true chirstians ememy,StormFront,i am a white nationalist of a christian faith but still am a white nationalist for racial survival the anti racist christians are the true chirstians ememy,0,Radicalization
77,77,Both Asians and whites are composed and calm and blacks seem to have no self control .,StormFront,both asians and whites are composed and calm and blacks seem to have no self control  ,1,Recruitment
78,78,"Well, maybe they 're slowly working their way to destroying Eastern Europe .",StormFront,well  maybe they  re slowly working their way to destroying eastern europe  ,0,Radicalization
79,79,Mexicans have plenty of open space in their countries to develop they do n't need ours .,StormFront,mexicans have plenty of open space in their countries to develop they do n t need ours  ,0,Radicalization
80,80,Same with all of Europe after the evil yellow invasion .,StormFront,same with all of europe after the evil yellow invasion  ,0,Radicalization
81,81,"Exactly, they want us to lay down and die .",StormFront,exactly  they want us to lay down and die  ,0,Radicalization
82,82,"By their words and deeds , they declare themselves to be staunchly in favor of the genocide of our people .",StormFront,by their words and deeds   they declare themselves to be staunchly in favor of the genocide of our people  ,2,Propaganda
83,83,"The problem is in blacks ' heads , but hey , you have already known that .",StormFront,the problem is in blacks   heads   but hey   you have already known that  ,0,Radicalization
84,84,"Gay marriage has no place in any society , regardless of your race and culture.It destroys , morals , values , and the future of your offspring that will keep your race and culture alive.Regardless of your race and culture , homosexuality and gay marriage is the genocide of mankind .",StormFront,gay marriage has no place in any society   regardless of your race and culture it destroys   morals   values   and the future of your offspring that will keep your race and culture alive regardless of your race and culture   homosexuality and gay marriage is the genocide of mankind  ,0,Radicalization
85,85,Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?,StormFront,does it surprise you that those white hating non whites still want to live in white countries made great by white people and brought low by non whites  ,0,Radicalization
86,86,They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',StormFront,they re cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare words like    racist     ,0,Radicalization
87,87,"It 's not a coincidence that they attack in packs and side with the herd on every ethical question ; they 're inferior and they know it , ill-suited to standing up alone or thinking through a complex scenario to settle upon an internally consistent position .",StormFront,it  s not a coincidence that they attack in packs and side with the herd on every ethical question   they  re inferior and they know it   ill suited to standing up alone or thinking through a complex scenario to settle upon an internally consistent position  ,0,Radicalization
88,88,"They instead decide by convenience , low risk , and unenlightened self-interest .",StormFront,they instead decide by convenience   low risk   and unenlightened self interest  ,1,Recruitment
89,89,Want a libtard to oppose abortion ?,StormFront,want a libtard to oppose abortion  ,0,Radicalization
90,90,Want a libtard to support White Nationalism ?,StormFront,want a libtard to support white nationalism  ,0,Radicalization
91,91,Tell them we 'll legalize drugs and pedophilia .,StormFront,tell them we  ll legalize drugs and pedophilia  ,1,Recruitment
92,92,The Black race is yet to invent any kind of civilization .,StormFront,the black race is yet to invent any kind of civilization  ,0,Radicalization
93,93,Any kind of civilization Negroes have today is a gift from the White race .,StormFront,any kind of civilization negroes have today is a gift from the white race  ,0,Radicalization
94,94,"The White race is best because when the Creator made Whites , He made them better than He made the other races .",StormFront,the white race is best because when the creator made whites   he made them better than he made the other races  ,0,Radicalization
95,95,"Liberals will have you believe it is so they can blame Whitey but it 's all such a mixed hell hole , all that breeding with arabs ....",StormFront,liberals will have you believe it is so they can blame whitey but it  s all such a mixed hell hole   all that breeding with arabs     ,0,Radicalization
96,96,I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,StormFront,i am white and i believe all white people know the difference between right and wrong no matter what they say about their political positions we are facing genocide as a people and the infighting is just loved by non whites  ,0,Radicalization
97,97,All of our tim hortons are staffed by those nast filipinos and every single town is full of Indians and asians .,StormFront,all of our tim hortons are staffed by those nast filipinos and every single town is full of indians and asians  ,0,Radicalization
98,98,"We need to deport all nonwhites immediately , that or stop letting more in and sterilize the ones here , that will fix the problem .",StormFront,we need to deport all nonwhites immediately   that or stop letting more in and sterilize the ones here   that will fix the problem  ,0,Radicalization
99,99,"I honestly hate Indians , Muslims , really anything with brown , black or yellow coloured skin I hate .",StormFront,i honestly hate indians   muslims   really anything with brown   black or yellow coloured skin i hate  ,0,Radicalization
100,100,"Because they are essentially child-like and until someone steps up and says something they will just carry on , again like children .",StormFront,because they are essentially child like and until someone steps up and says something they will just carry on   again like children  ,0,Radicalization
101,101,Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,StormFront,honestly if they ever fired them i  d expect they  d do more damage to themselves since the average negro lacks the intellect for basic firearms training  ,1,Recruitment
102,102,I 'm surprised they 're not holding the gun back to front .,StormFront,i  m surprised they  re not holding the gun back to front  ,0,Radicalization
103,103,Every cultured society and all things therein were created by whites .,StormFront,every cultured society and all things therein were created by whites  ,0,Radicalization
104,104,I wonder why the Jewish Media always pretends that all the blood thirsty third world savages are victims and it is all Whitey 's fault ?,StormFront,i wonder why the jewish media always pretends that all the blood thirsty third world savages are victims and it is all whitey  s fault  ,0,Radicalization
105,105,"Homosexuals ca n't undo the fight against White Genocide , only hypocrites can , I 'd rather have openly homosexual men on our side than closet fags or sexual deviants who skulk about pretending to be something they 're not .",StormFront,homosexuals ca n t undo the fight against white genocide   only hypocrites can   i  d rather have openly homosexual men on our side than closet fags or sexual deviants who skulk about pretending to be something they  re not  ,0,Radicalization
106,106,"Dude stink bomb this event , when it gets dark , chuck a bunch of them on the floor , different spots , when the chimps start jiving and grooving , they will step on them .",StormFront,dude stink bomb this event   when it gets dark   chuck a bunch of them on the floor   different spots   when the chimps start jiving and grooving   they will step on them  ,0,Radicalization
107,107,Faggots are always pushing their homosexual agenda .,StormFront,faggots are always pushing their homosexual agenda  ,1,Recruitment
108,108,Even the queers in small towns have been emboldened to go out and peddle the homosexual agenda .,StormFront,even the queers in small towns have been emboldened to go out and peddle the homosexual agenda  ,2,Propaganda
109,109,"We need more of our kids on the honor role and in college , crowding out the non-W 's !",StormFront,we need more of our kids on the honor role and in college   crowding out the non w  s  ,0,Radicalization
110,110,They will eventually kill off the whites and go back to the jungle ways .,StormFront,they will eventually kill off the whites and go back to the jungle ways  ,0,Radicalization
111,111,I'm not really surprised - now going to college with blacks I can tell you they continue to behave in such a manner even in higher education .,StormFront,i m not really surprised   now going to college with blacks i can tell you they continue to behave in such a manner even in higher education  ,0,Radicalization
112,112,They always think they are somehow exempt from the rules,StormFront,they always think they are somehow exempt from the rules,0,Radicalization
113,113,You are white and you are better then them and the next time they harass you and someone else form a group of buddies and go up to the proncipal office .,StormFront,you are white and you are better then them and the next time they harass you and someone else form a group of buddies and go up to the proncipal office  ,1,Recruitment
114,114,"I guess I got lucky , I we n't to a public high school and we never had to learn about the holohoax .",StormFront,i guess i got lucky   i we n t to a public high school and we never had to learn about the holohoax  ,0,Radicalization
115,115,I see so many BM/WF around my city its not even funny .,StormFront,i see so many bm wf around my city its not even funny  ,0,Radicalization
116,116,LOL GJ brother 10 points for the Uber humans and - 10 for the sub human ape creatures you are truly one bad mofo whitey crakker man,StormFront,lol gj brother    points for the uber humans and      for the sub human ape creatures you are truly one bad mofo whitey crakker man,0,Radicalization
117,117,whats up I thought I might put my pic up here I 'm looking for some friends theres too many negroes around here some times I feel like there is' int any white guy left in the world. so message me and let me know there is stll some white brothers out their .,StormFront,whats up i thought i might put my pic up here i  m looking for some friends theres too many negroes around here some times i feel like there is  int any white guy left in the world  so message me and let me know there is stll some white brothers out their  ,0,Radicalization
118,118,well im glad to hear there are more youth in our world and lets all hope those mudds and niggs go to h-e-l-l,StormFront,well im glad to hear there are more youth in our world and lets all hope those mudds and niggs go to h e l l,0,Radicalization
119,119,I would not be surprised if this woman was specifically targeted by local Jews from her town for this abominable treatment .,StormFront,i would not be surprised if this woman was specifically targeted by local jews from her town for this abominable treatment  ,0,Radicalization
120,120,"They must have trapped her somehow , and sent her thru the network to Israel .",StormFront,they must have trapped her somehow   and sent her thru the network to israel  ,2,Propaganda
121,121,And most people will laugh and shake their head at you when you tell them that Jews are a very dangerous group of people .,StormFront,and most people will laugh and shake their head at you when you tell them that jews are a very dangerous group of people  ,0,Radicalization
122,122,"Thank you for your kind words , hope to meet you in the new white world one day soon .",StormFront,thank you for your kind words   hope to meet you in the new white world one day soon  ,0,Radicalization
123,123,This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .,StormFront,this family that wants to complain about gays should come to san francisco and raise some hell at these gay pride events      a much better target       and these people in san francisco openly blasphemied christ with their parody of   the last supper    as their poster for their last event  ,1,Recruitment
124,124,That or it might be that Blacks have smaller brains and an IQ 15-30 points lower than that of White people on average .,StormFront,that or it might be that blacks have smaller brains and an iq       points lower than that of white people on average  ,0,Radicalization
125,125,Are there any whites left in that craphole or have they all been killed ?,StormFront,are there any whites left in that craphole or have they all been killed  ,2,Propaganda
126,126,"There is no different versions of bad when it comes to race traitors , if you date a non white it is bad , no matter if the non-white is asian , black or arab.",StormFront,there is no different versions of bad when it comes to race traitors   if you date a non white it is bad   no matter if the non white is asian   black or arab ,0,Radicalization
127,127,I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .,StormFront,i ca n t fathom seeing all those brainless whites along with their negro counterparts worshipping obama  ,0,Radicalization
128,128,She was probably the victim of a groid rage rape also .,StormFront,she was probably the victim of a groid rage rape also  ,0,Radicalization
129,129,"Perhaps I should walk back into my H.S. when it starts Monday and get on the P.A. system and say I want to tie all * * * * * * s to the back of my car and drag them across the ground till they die , and then say I 'm joking .",StormFront,perhaps i should walk back into my h s  when it starts monday and get on the p a  system and say i want to tie all             s to the back of my car and drag them across the ground till they die   and then say i  m joking  ,0,Radicalization
130,130,I hope I see the day when thease worthless pieces of crap are OUT OF HERE .,StormFront,i hope i see the day when thease worthless pieces of crap are out of here  ,1,Recruitment
131,131,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",StormFront,all the jews i have ever known will do anything for money   and all i can say is there are no good jews,0,Radicalization
132,132,Let mother nature evolve these people naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .,StormFront,let mother nature evolve these people naturally because no amount of money or aid is going to drag these   things   into the civilized world where they serve absolutely no purpose  ,0,Radicalization
133,133,And this is why SA went from First World under Botha 's rule ( deKlerk does n't count ) to a Third World begger horde .,StormFront,and this is why sa went from first world under botha  s rule   deklerk does n t count   to a third world begger horde  ,0,Radicalization
134,134,Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them,StormFront,just shows how thick they actually are one farmer one bullet they will just end up starving and asking whites to feed them,0,Radicalization
135,135,No doubt they 'll be coming up with chocolate-colored Leprechauns and a Chinese flavored Uncle Sam 's too .,StormFront,no doubt they  ll be coming up with chocolate colored leprechauns and a chinese flavored uncle sam  s too  ,2,Propaganda
136,136,Whites in all their glory against impossibly large hordes of non-whites .,StormFront,whites in all their glory against impossibly large hordes of non whites  ,0,Radicalization
137,137,The raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,StormFront,the raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be  ,0,Radicalization
138,138,This disgusting negro makes us ( white people ) look bad .,StormFront,this disgusting negro makes us   white people   look bad  ,0,Radicalization
139,139,He should be flagged and reported. skyyjohn 's Channel - YouTube EstablishedMen.com sent me on a blind date !,StormFront,he should be flagged and reported  skyyjohn  s channel   youtube establishedmen com sent me on a blind date  ,0,Radicalization
140,140,Maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .,StormFront,maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing  ,0,Radicalization
141,141,All i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .,StormFront,all i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way  ,0,Radicalization
142,142,"We all know that when their are too many ethnics , the neighbourhood soon turn 's into a slum .",StormFront,we all know that when their are too many ethnics   the neighbourhood soon turn  s into a slum  ,0,Radicalization
143,143,Soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .,StormFront,soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction  ,0,Radicalization
144,144,"Whites have the following Too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals .",StormFront,whites have the following too many abortions   too many mixed marriages   too many no kids marriages   and too many liberals  ,0,Radicalization
145,145,We need to eliminate all of those elements from the white race .,StormFront,we need to eliminate all of those elements from the white race  ,2,Propaganda
